RSI,ULTOSC,STOCHRSI,+DI,-DI,ROC,PD,CHANGE
62.9579,60.4946,97.411,30.9214,20.5605,0.1089,0.6,0
56.4618,58.1942,50.2983,22.7836,20.6648,0.0885,-0.2,1
53.2417,57.8832,23.0904,23.2309,20.9696,-0.0195,-0.2,0
56.4915,55.3477,56.4902,24.0955,20.6964,0.0608,-0.2,0
40.2988,41.1024,15.1235,20.4142,29.7953,-0.1773,0.2,1
50.8152,55.9104,90.0,14.3509,26.0711,-0.1851,0.2,0
54.1855,73.3551,85.5509,14.0706,23.4969,0.0508,1.0,0
44.2135,52.4745,47.731,8.3639,35.8965,-0.1658,-0.6,1
47.7286,45.5283,62.9718,9.0814,32.5663,-0.2234,0.2,1
52.5455,59.8156,74.0991,14.123,26.8204,0.1292,0.6,0
47.1003,55.3655,8.3749,15.6801,26.4869,-0.0472,-0.2,1
53.6387,54.8499,69.3249,21.3255,24.3698,0.0719,0.2,1
50.5761,60.5266,49.1987,20.1479,24.3023,-0.0167,-0.6,1
70.8658,69.8393,88.8543,30.3814,19.4485,0.3628,0.2,0
69.1536,65.4381,79.9124,30.3304,18.3275,0.3565,0.2,0
38.0666,37.7618,10.6504,16.9204,23.0452,-0.3665,-0.2,0
40.3272,34.4574,20.1532,15.327,23.3851,-0.3834,-0.2,0
36.3842,36.0241,99.1759,8.8253,29.4163,-0.4525,-0.2,0
40.9863,43.4127,77.0812,14.1303,27.1363,-0.4235,0.2,0
34.1517,35.4105,18.2807,16.4577,30.2707,-0.5876,-0.2,0
40.7587,41.6791,84.8599,15.6296,28.8839,-0.4048,0.6,0
65.8461,58.0338,80.1809,24.4651,15.3748,0.656,0.6,1
75.046,61.023,93.169,28.8492,15.0922,0.6795,0.2,0
67.8244,64.8264,56.7756,25.8333,15.071,0.3438,0.2,0
41.5467,39.3259,11.8028,19.3173,24.4847,-0.3089,-0.6,0
13.7805,17.8072,0.0,9.7021,51.1677,-1.7451,-0.6,1
31.5992,27.9484,48.7279,20.8236,31.9175,-1.1384,0.2,1
42.1082,41.9736,93.0906,19.7933,25.8736,0.3428,0.2,1
48.7829,59.6383,85.8703,19.6953,21.779,0.2513,-0.2,0
47.9228,45.8336,56.3646,17.1535,20.9652,-0.0126,-0.2,1
41.7272,42.7439,48.6791,12.1275,28.8742,-0.4783,-0.6,1
52.4411,61.2335,77.0951,21.9991,30.1217,0.0239,-0.2,1
55.4802,51.2668,78.821,21.21,24.9073,0.0362,0.2,1
55.0728,54.4086,77.7446,21.3027,23.9458,-0.0098,-0.2,1
